jedyorkgoat	@bdepouw09 @OhioState @NCAA suck my ass
Schmatty5	RT @ButlerBlue3: Wait, @ButlerMBB plays @OhioState on Sunday? I’m going to need the next 24 hours to get emotionally prepared. #PK80 #GoDaw…
kvn43220	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
AndybingAnd	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
arrapeachykeen	RT @sfalliance: .@OhioState and @UMich students team up for farmworker justice at rivalry football game! Hundreds are learning about @ciw's…
ciw	RT @sfalliance: .@OhioState and @UMich students team up for farmworker justice at rivalry football game! Hundreds are learning about @ciw's…
lynngotts	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
sfalliance	.@OhioState and @UMich students team up for farmworker justice at rivalry football game! Hundreds are learning abou… https://t.co/y3Tk7n9hSQ
WahooYahooo	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
jtwheat27	This is something that Dr Devor et al did not even do @OhioState with bogus @CrossFit study! @NSCA https://t.co/392lh8p3lz
MahSafeCom	It's al❌ost kickoff. ❌ake sure to celebrate @OhioState victory responsibly &amp; designate a #SoberDriver! @OSHP… https://t.co/HqTMhixI5s
ProfessorChic	RT @RedCrossBloodOH: The @OhioState University @RedCrossOSU has won the 2017 #BloodBattle against @UMich by 53 donations! Thanks to all who…
mathsize	RT @OhioState: Did so❌eone say BINGO? Download your Buckeye Bingo board to play along during the ga❌e! #BeatTTUN https://t.co/X8rNnOplVh
paulv27	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
The_Deatons	What up with those @OhioState unis?  Afraid that school from Ohio is going to win but #GoBlue pull off the upset @UMichFootball  #TheGame
MorelHunting	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
gracereider	RT @RedCrossBloodOH: The @OhioState University @RedCrossOSU has won the 2017 #BloodBattle against @UMich by 53 donations! Thanks to all who…
JRH0823	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
OHNationalGuard	It's almost time for #TheGame against #TTUN and you know who we are rooting for! #GoBuckeyes #OSUvsMICH   This Vete… https://t.co/xXBcP76bku
traceywilson67	RT @FOXSportsOH: It's almost ⏰ for The Ga❌e!  But first, relive our @OhioState vs. TTUN baby race. #BeatMichigan https://t.co/xQ9PzGV8VQ
